"States / Union Territories","All Categories - Pre-Primary - Boys","All Categories - Pre-Primary - Girls","All Categories - Pre-Primary - Total","All Categories - Class I - Boys","All Categories - Class I - Girls","All Categories - Class I - Total","All Categories - Class II - Boys","All Categories - Class II - Girls","All Categories - Class II - Total","All Categories - Class III - Boys","All Categories - Class III - Girls","All Categories - Class III - Total","All Categories - Class IV - Boys","All Categories - Class IV - Girls","All Categories - Class IV - Total","All Categories - Class V - Boys","All Categories - Class V - Girls","All Categories - Class V - Total","All Categories - TOTALClass I - V - Boys","All Categories - TOTALClass I - V - Girls","All Categories - TOTALClass I - V - Total","All Categories - Class VI - Boys","All Categories - Class VI - Girls","All Categories - Class VI - Total","All Categories - Class VII - Boys","All Categories - Class VII - Girls","All Categories - Class VII - Total","All Categories - Class VIII - Boys","All Categories - Class VIII - Girls","All Categories - Class VIII - Total","All Categories - TOTALClass VI - VIII - Boys","All Categories - TOTALClass VI - VIII - Girls","All Categories - TOTALClass VI - VIII - Total","All Categories - TOTALClass I - VIII - Boys","All Categories - TOTALClass I - VIII - Girls","All Categories - TOTALClass I - VIII - Total","All Categories - Class IX - Boys","All Categories - Class IX - Girls","All Categories - Class IX - Total","All Categories - Class X - Boys","All Categories - Class X - Girls","All Categories - Class X - Total","All Categories - TOTALClass IX-X - Boys","All Categories - TOTALClass IX-X - Girls","All Categories - TOTALClass IX-X - Total","All Categories - TOTALClass I-X - Boys","All Categories - TOTALClass I-X - Girls","All Categories - TOTALClass I-X - Total","All Categories - Class XI - Boys","All Categories - Class XI - Girls","All Categories - Class XI - Total","All Categories - Class XII - Boys","All Categories - Class XII - Girls","All Categories - Class XII - Total","All Categories - TOTALClass XI- XII - Boys","All Categories - TOTALClass XI- XII - Girls","All Categories - TOTALClass XI- XII - Total","All Categories - TOTALClass I- XII - Boys","All Categories - TOTALClass I- XII - Girls","All Categories - TOTALClass I- XII - Total","All Categories - GrandTotal-Pre-Primary- XII - Boys","All Categories - GrandTotal-Pre-Primary- XII - Girls","All Categories - GrandTotal-Pre-Primary- XII - Total"
"Andhra Pradesh",229595,180491,410086,785884,737755,1523639,738031,703559,1441590,723300,696741,1420041,685491,663101,1348592,687987,662718,1350705,3620693,3463874,7084567,661724,652412,1314136,651294,640983,1292277,571733,556522,1128255,1884751,1849917,3734668,5505444,5313791,10819235,552992,534924,1087916,533738,517313,1051051,1086730,1052237,2138967,6592174,6366028,12958202,465516,398547,864063,384887,333959,718846,850403,732506,1582909,7442577,7098534,14541111,7672172,7279025,14951197
"Arunachal Pradesh",17361,14952,32313,33084,30887,63971,26367,24858,51225,22963,21445,44408,20269,19028,39297,19006,17360,36366,121689,113578,235267,16585,15813,32398,15147,14540,29687,13683,13030,26713,45415,43383,88798,167104,156961,324065,11652,10515,22167,9479,8353,17832,21131,18868,39999,188235,175829,364064,8275,7541,15816,6680,5832,12512,14955,13373,28328,203190,189202,392392,220551,204154,424705
Assam,273779,223736,497515,369391,358895,728286,309241,304354,613595,281209,278475,559684,262122,262375,524497,240677,255975,496652,1462640,1460074,2922714,230783,248342,479125,223757,242311,466068,222350,184119,406469,676890,674772,1351662,2139530,2134846,4274376,214671,241663,456334,147350,157360,304710,362021,399023,761044,2501551,2533869,5035420,43115,40436,83551,34291,33631,67922,77406,74067,151473,2578957,2607936,5186893,2852736,2831672,5684408
Bihar,127,98,225,2086120,1909328,3995448,1767022,1610326,3377348,1631610,1460919,3092529,1451018,1300089,2751107,1293975,1140186,2434161,8229745,7420848,15650593,997084,875771,1872855,895621,793225,1688846,811048,682346,1493394,2703753,2351342,5055095,10933498,9772190,20705688,670267,537165,1207432,584065,453307,1037372,1254332,990472,2244804,12187830,10762662,22950492,407224,294092,701316,309930,209769,519699,717154,503861,1221015,12904984,11266523,24171507,12905111,11266621,24171732
Chhattisgarh,52465,40330,92795,372499,347805,720304,355590,332990,688580,329275,307115,636390,313246,293594,606840,301840,284874,586714,1672450,1566378,3238828,282485,262217,544702,257965,239700,497665,238241,222506,460747,778691,724423,1503114,2451141,2290801,4741942,199206,183861,383067,173595,162812,336407,372801,346673,719474,2823942,2637474,5461416,103234,91620,194854,100146,81044,181190,203380,172664,376044,3027322,2810138,5837460,3079787,2850468,5930255
Goa,NA,NA,NA,13450,12198,25648,13180,12154,25334,12836,11618,24454,12950,11820,24770,12780,11742,24522,65196,59532,124728,14472,12527,26999,12928,11414,24342,11950,10634,22584,39350,34575,73925,104546,94107,198653,13533,11909,25442,7867,7162,15029,21400,19071,40471,125946,113178,239124,8055,7568,15623,6970,7169,14139,15025,14737,29762,140971,127915,268886,140971,127915,268886
Gujarat,NA,NA,NA,754294,644972,1399266,716535,621864,1338399,721476,629877,1351353,693711,622815,1316526,629377,547218,1176595,3515393,3066746,6582139,567058,494404,1061462,514240,443496,957736,496460,346537,842997,1577758,1284437,2862195,5093151,4351183,9444334,449279,316592,765871,386491,277338,663829,835770,593930,1429700,5928921,4945113,10874034,268016,188457,456473,220060,160032,380092,488076,348489,836565,6416997,5293602,11710599,6416997,5293602,11710599
Haryana,70410,61345,131755,231593,204949,436542,249734,224743,474477,248205,225815,474020,242056,217192,459248,235033,204935,439968,1206621,1077634,2284255,222584,196880,419464,217730,192435,410165,223362,196786,420148,663676,586101,1249777,1870297,1663735,3534032,204181,181187,385368,190381,169276,359657,394562,350463,745025,2264859,2014198,4279057,196413,158135,354548,178031,149119,327150,374444,307254,681698,2639303,2321452,4960755,2709713,2382797,5092510
"Himachal Pradesh",40324,35147,75471,63200,56849,120049,65193,59494,124687,66352,60459,126811,64834,58795,123629,65481,58643,124124,325060,294240,619300,66658,58297,124955,67411,59223,126634,71930,63123,135053,205999,180643,386642,531059,474883,1005942,77488,67733,145221,73238,67280,140518,150726,135013,285739,681785,609896,1291681,61815,55378,117193,45798,42779,88577,107613,98157,205770,789398,708053,1497451,829722,743200,1572922
"Jammu and Kashmir",92111,80799,172910,145444,135246,280690,133660,122180,255840,129057,119207,248264,128058,118021,246079,126688,117313,244001,662907,611967,1274874,120918,108114,229032,114723,99646,214369,113000,99031,212031,348641,306791,655432,1011548,918758,1930306,91441,77902,169343,80807,70859,151666,172248,148761,321009,1183796,1067519,2251315,61328,53255,114583,55004,48671,103675,116332,101926,218258,1300128,1169445,2469573,1392239,1250244,2642483
Jharkhand,64311,49517,113828,614361,586825,1201186,522682,507047,1029729,495546,481559,977105,466071,455243,921314,447748,438727,886475,2546408,2469401,5015809,335909,326745,662654,312566,302864,615430,279452,265521,544973,927927,895130,1823057,3474335,3364531,6838866,202856,178071,380927,155895,134506,290401,358751,312577,671328,3833086,3677108,7510194,55882,47105,102987,45820,38007,83827,101702,85112,186814,3934788,3762220,7697008,3999099,3811737,7810836
Karnataka,NA,NA,NA,597784,544915,1142699,574506,532550,1107056,555896,509262,1065158,562627,527927,1090554,576735,537766,1114501,2867548,2652420,5519968,555749,517467,1073216,539335,508411,1047746,498694,455710,954404,1593778,1481588,3075366,4461326,4134008,8595334,478698,438844,917542,411134,391258,802392,889832,830102,1719934,5351158,4964110,10315268,287908,271159,559067,209008,219570,428578,496916,490729,987645,5848074,5454839,11302913,5848074,5454839,11302913
Kerala,NA,NA,NA,210775,204955,415730,222665,213186,435851,231944,223382,455326,241866,230612,472478,262087,248656,510743,1169337,1120791,2290128,275421,262405,537826,281288,264762,546050,283659,261789,545448,840368,788956,1629324,2009705,1909747,3919452,291179,272388,563567,265621,261118,526739,556800,533506,1090306,2566505,2443253,5009758,197112,223773,420885,180828,206361,387189,377940,430134,808074,2944445,2873387,5817832,2944445,2873387,5817832
"Madhya Pradesh",NA,NA,NA,1218377,1119120,2337497,1138412,1091123,2229535,1061320,1053095,2114415,1029083,1015164,2044247,966391,965397,1931788,5413583,5243899,10657482,856666,855544,1712210,814566,801909,1616475,737824,697572,1435396,2409056,2355025,4764081,7822639,7598924,15421563,735906,463376,1199282,620213,379067,999280,1356119,842443,2198562,9178758,8441367,17620125,468234,316684,784918,458720,298561,757281,926954,615245,1542199,10105712,9056612,19162324,10105712,9056612,19162324
Maharashtra,1259699,1107107,2366806,1074911,959139,2034050,1090418,979473,2069891,1119700,1002478,2122178,1098148,975039,2073187,1088301,949582,2037883,5471478,4865711,10337189,1079402,948878,2028280,1062109,933412,1995521,980915,843986,1824901,3122426,2726276,5848702,8593904,7591987,16185891,875470,750368,1625838,800025,691140,1491165,1675495,1441508,3117003,10269399,9033495,19302894,656042,521234,1177276,643178,511014,1154192,1299220,1032248,2331468,11568619,10065743,21634362,12828318,11172850,24001168
