Id,Language_knows
0,C++;HTML/CSS;JavaScript;Objective-C;PHP;Swift
1,JavaScript;Python
2,Assembly;C;Python;R;Rust
3,JavaScript;TypeScript
4,Bash/Shell;HTML/CSS;Python;SQL
5,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Swift
6,HTML/CSS;JavaScript
7,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
8,HTML/CSS;JavaScript
9,C++;Python
10,C#;TypeScript
11,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
12,C;C++;Java;Perl;Ruby
13,C;C++;JavaScript;Python;R;SQL
14,JavaScript;SQL
15,Bash/Shell;Python
16,C#;HTML/CSS;Java;JavaScript;Node.js
17,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL
18,C++;Python
19,C;C++;HTML/CSS;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
20,Java;Python
21,JavaScript;Python
22,C#;HTML/CSS;Python
23,JavaScript;Python
24,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript
25,HTML/CSS;Julia;Python;R;SQL
26,C++;Python
27,Python
28,Bash/Shell;Haskell;JavaScript;SQL;TypeScript
29,Delphi;Java;SQL
30,HTML/CSS;JavaScript;Node.js;Python;TypeScript
31,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL
32,C++;HTML/CSS;JavaScript;PHP;SQL
33,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL
34,Bash/Shell;C;C#;C++;Java
35,C;C++;Java;Python
36,Assembly;C;Java;Kotlin;Rust
37,Go
38,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;TypeScript
39,C;C#;C++;HTML/CSS;JavaScript;Node.js;Python
40,C;C#;C++;Java;Kotlin;Python
41,Bash/Shell;C#;C++;Python
42,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;Scala;TypeScript
